"ProlificID","Progress","condition","duration.seconds","Consent","Catch","RT_RMTE3_Page.Submit","RMTE3","RT_RMTE6_Page.Submit","RMTE6","RT_RMTE9_Page.Submit","RMTE9","RT_RMTE15_Page.Submit","RMTE15","RT_RMTE17_Page.Submit","RMTE17","RT_RMTE18_Page.Submit","RMTE18","RT_RMTE19_Page.Submit","RMTE19","RT_RMTE21_Page.Submit","RMTE21","RT_RMTE22_Page.Submit","RMTE22","RT_RMTE25_Page.Submit","RMTE25","RT_RMTE27_Page.Submit","RMTE27","RT_RMTE28_Page.Submit","RMTE28","RT_RMTE29_Page.Submit","RMTE29","RT_RMTE30_Page.Submit","RMTE30","RT_RMTE31_Page.Submit","RMTE31","RT_RMTE34_Page.Submit","RMTE34","RT_RMTE35_Page.Submit","RMTE35","confidence_level","sex_arousal_1st","happy_1st","sadness_1st","bored_1st","sex_arosal_2nd","happy_2nd","sadness_2nd","bored_2nd","attentionCheck_blank","attentionCheck_yes","Age","Gender","sexual_orientation","sexual_orientation_3_TEXT","health_symptoms","Comments","item_order","firstSection_items","secondSection_items","Sex_clip_DO","Neutral_clip_DO","emotions_first_clip_DO","emotions_second_clip_DO","duration.minutes","duration_z","RMTE3_crct","RMTE6_crct","RMTE9_crct","RMTE15_crct","RMTE17_crct","RMTE18_crct","RMTE19_crct","RMTE21_crct","RMTE22_crct","RMTE25_crct","RMTE27_crct","RMTE28_crct","RMTE29_crct","RMTE30_crct","RMTE31_crct","RMTE34_crct","RMTE35_crct","RMET_mean_all","RMTE3_trial","RMTE6_trial","RMTE9_trial","RMTE15_trial","RMTE17_trial","RMTE18_trial","RMTE19_trial","RMTE21_trial","RMTE22_trial","RMTE25_trial","RMTE27_trial","RMTE28_trial","RMTE29_trial","RMTE30_trial","RMTE31_trial","RMTE34_trial","RMTE35_trial","Sex_clip_name","Neutral_clip_name","sex_arousal_sex","sex_arousal_neutral","happy_sex","happy_neutral","sadness_sex","sadness_neutral","bored_sex","bored_neutral","sex_arousal_diff","sex_arousal_diff_sex_Z","sex_arousal_diff_neutral_Z","sex_arousal_diff_Z"
"558860f6fdf99b4020ba0c59","100","Neutral_clip_1st",505,"Yes","20","6.351","desire","5.625","fantasizing","5.868","preoccupied","6.327","contemplative","5.899","doubtful","3.426","decisive","8.91","tentative","7.566","fantasizing","5.03","preoccupied","7.018","interested","3.659","cautious","9.194","interested","4.024","reflective","3.496","flirtatious","4.196","confident","6.423","baffled","7.859","nervous",5,1,6,1,1,6,5,7,2,"","yes",47,"Male","Heterosexual or straight","","No","",", RMTE17, RMTE28, RMTE9, RMTE35, RMTE18, RMTE22, RMTE34, RMTE19, RMTE27, RMTE21, RMTE6, RMTE25, RMTE29, RMTE3, RMTE31, RMTE15, RMTE30","RMTE17|RMTE28|RMTE9|RMTE35|RMTE18|RMTE22|RMTE34|RMTE19|RMTE27","FL_106|FL_112|FL_104|FL_101|FL_95|FL_99|FL_110|FL_100","vidInstructionSex|FloorSex","vidInstructionNeut|ModernFamily","|sex_arousal_1st|bored_1st|happy_1st|sadness_1st","|sadness_2nd|sex_arosal_2nd|happy_2nd|bored_2nd",8.41666666666667,-0.556838632846519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.941176470588235,14,11,3,16,1,5,8,10,6,12,9,2,13,17,15,7,4,"FloorSex","ModernFamily",6,1,5,6,7,1,2,1,5,0.145716101190743,-0.568257964429545,0.468200331964519
"563f734bcbd4c60005dc9442","100","Neutral_clip_1st",454,"Yes","20","4.91","desire","4.586","impatient","5.192","annoyed","4.054","amused","3.117","doubtful","4.294","bored","3.649","tentative","5.87","confused","5.1","imploring","4.839","interested","6.244","cautious","5.21","interested","6.858","irritated","4.086","flirtatious","7.905","dispirited","4.143","distrustful","8.752","puzzled",5,1,5,5,5,6,5,5,5,"","yes",48,"Male","Heterosexual or straight","","No","",", RMTE35, RMTE25, RMTE31, RMTE27, RMTE9, RMTE34, RMTE29, RMTE15, RMTE22, RMTE28, RMTE21, RMTE17, RMTE3, RMTE6, RMTE19, RMTE30, RMTE18","RMTE35|RMTE25|RMTE31|RMTE27|RMTE9|RMTE34|RMTE29|RMTE15|RMTE22","FL_102|FL_106|FL_109|FL_95|FL_112|FL_107|FL_100|FL_108","vidInstructionSex|FloorSex","vidInstructionNeut|MadMen","|sadness_1st|bored_1st|sex_arousal_1st|happy_1st","|happy_2nd|bored_2nd|sex_arosal_2nd|sadness_2nd",7.56666666666667,-0.727044479939682,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0.470588235294118,13,14,5,8,12,17,15,11,9,2,4,10,7,16,3,6,1,"FloorSex","MadMen",6,1,5,5,5,5,5,5,5,0.145716101190743,-0.568257964429545,0.468200331964519
"56b8c6efe1d0a2000a146a7c","100","Neutral_clip_1st",524,"Yes","20","18.133","desire","5.654","impatient","4.548","preoccupied","4.313","amused","6.048","doubtful","4.114","bored","4.074","tentative","6.297","embarrassed","4.625","preoccupied","6.297","interested","5.928","cautious","7.214","interested","4.641","reflective","4.231","disappointed","6.553","confident","4.562","baffled","5.612","puzzled",1,1,1,1,8,6,5,3,3,"","yes",47,"Male","Heterosexual or straight","","No","",", RMTE3, RMTE28, RMTE25, RMTE17, RMTE31, RMTE22, RMTE18, RMTE35, RMTE15, RMTE30, RMTE6, RMTE29, RMTE21, RMTE27, RMTE34, RMTE9, RMTE19","RMTE3|RMTE28|RMTE25|RMTE17|RMTE31|RMTE22|RMTE18|RMTE35|RMTE15","FL_100|FL_112|FL_101|FL_106|FL_103|FL_98|FL_111|FL_107","vidInstructionSex|SamTaylor","vidInstructionNeut|WallE","|sadness_1st|sex_arousal_1st|bored_1st|happy_1st","|happy_2nd|bored_2nd|sadness_2nd|sex_arosal_2nd",8.73333333333333,-0.493428611380439,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0.588235294117647,1,11,16,9,4,7,17,13,6,3,14,2,12,10,5,15,8,"SamTaylor","WallE",6,1,5,1,3,1,3,8,5,0.145716101190743,-0.568257964429545,0.468200331964519
"56d56e550b5634000bdc5703","100","Sex_clip_1st",892,"Yes","20","31.073","desire","23.648","fantasizing","10.946","preoccupied","16.876","contemplative","55.869","doubtful","34.716","decisive","12.885","sarcastic","16.391","fantasizing","15.271","preoccupied","25.553","incredulous","19.214","joking","21.377","contented","11.234","reflective","25.051","flirtatious","9.896","confident","12.3","baffled","16.363","nervous",2,6,4,1,1,1,5,1,2,"","yes",42,"Male","Heterosexual or straight","","No","",", RMTE18, RMTE31, RMTE21, RMTE9, RMTE6, RMTE29, RMTE19, RMTE22, RMTE3, RMTE27, RMTE28, RMTE25, RMTE15, RMTE34, RMTE30, RMTE35, RMTE17","RMTE18|RMTE31|RMTE21|RMTE9|RMTE6|RMTE29|RMTE19|RMTE22|RMTE3","FL_103|FL_102|FL_104|FL_110|FL_98|FL_100|FL_97|FL_109","vidInstructionSex|BedroomOral","vidInstructionNeut|MadMen","|sadness_1st|happy_1st|sex_arousal_1st|bored_1st","|sex_arosal_2nd|happy_2nd|sadness_2nd|bored_2nd",14.8666666666667,0.73472338333101,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0.705882352941177,9,5,4,13,17,1,7,3,8,12,10,11,6,15,2,14,16,"BedroomOral","MadMen",6,1,4,5,1,1,1,2,5,0.145716101190743,-0.568257964429545,0.468200331964519
"56f7f09335c4760006278fca","100","Sex_clip_1st",630,"Yes","20","11.997","convinced","7.183","impatient","7.107","preoccupied","7.326","contemplative","16.319","doubtful","8.356","decisive","8.721","arrogant","10.799","fantasizing","11.838","preoccupied","6.689","despondent","5.299","cautious","13.174","interested","16.944","irritated","6.8","hostile","7.457","confident","7.982","distrustful","8.62","insisting",2,7,5,4,1,1,7,1,3,"","yes",29,"Male","Heterosexual or straight","","No","",", RMTE34, RMTE18, RMTE9, RMTE29, RMTE3, RMTE31, RMTE15, RMTE35, RMTE30, RMTE28, RMTE21, RMTE6, RMTE27, RMTE17, RMTE22, RMTE25, RMTE19","RMTE34|RMTE18|RMTE9|RMTE29|RMTE3|RMTE31|RMTE15|RMTE35|RMTE30","FL_102|FL_106|FL_112|FL_103|FL_109|FL_105|FL_104|FL_107","vidInstructionSex|SamTaylor","vidInstructionNeut|WallE","|sex_arousal_1st|sadness_1st|happy_1st|bored_1st","|happy_2nd|sadness_2nd|sex_arosal_2nd|bored_2nd",10.5,-0.139667438990728,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0.588235294117647,5,12,3,7,14,2,17,11,15,16,13,10,4,9,6,1,8,"SamTaylor","WallE",7,1,5,7,4,1,1,3,6,0.616864828374147,-0.568257964429545,0.902797769290436
"5702fde2d4cf7f00089471f3","100","Neutral_clip_1st",471,"Yes","20","3.278","desire","4.096","fantasizing","2.75","preoccupied","3.03","amused","2.584","doubtful","3.817","decisive","4.165","grateful","5.569","confused","2.354","imploring","2.653","interested","2.468","cautious","3.47","affectionate","2.841","reflective","4.505","flirtatious","2.728","confident","3.08","distrustful","3.04","contemplative",6,1,2,2,2,3,3,4,1,"","yes",27,"Male","Heterosexual or straight","","No","",", RMTE6, RMTE34, RMTE9, RMTE19, RMTE28, RMTE31, RMTE3, RMTE15, RMTE27, RMTE29, RMTE18, RMTE21, RMTE25, RMTE22, RMTE35, RMTE17, RMTE30","RMTE6|RMTE34|RMTE9|RMTE19|RMTE28|RMTE31|RMTE3|RMTE15|RMTE27","FL_101|FL_108|FL_106|FL_104|FL_105|FL_97|FL_109|FL_100","vidInstructionSex|SamTaylor","vidInstructionNeut|MadMen","|bored_1st|sadness_1st|sex_arousal_1st|happy_1st","|sadness_2nd|happy_2nd|bored_2nd|sex_arosal_2nd",7.85,-0.670309197575294,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0.647058823529412,7,1,3,8,16,11,4,12,14,13,9,5,10,17,6,2,15,"SamTaylor","MadMen",3,1,3,2,4,2,1,2,2,-1.26773008035947,-0.568257964429545,-0.835591980013232
"572a04726fe43d000f0491de","100","Neutral_clip_1st",508,"Yes","20","7.355","desire","6.51","impatient","7.8","annoyed","4.766","contemplative","7.633","aghast","7.367","decisive","6.834","tentative","6.834","fantasizing","6.58","preoccupied","8.134","panicked","7.445","cautious","4.848","contented","4.879","reflective","6.273","flirtatious","7.107","confident","5.155","distrustful","7.22","nervous",4,1,7,5,5,6,4,1,2,"","yes",26,"Male","Heterosexual or straight","","No","",", RMTE25, RMTE9, RMTE17, RMTE6, RMTE34, RMTE18, RMTE27, RMTE22, RMTE21, RMTE35, RMTE30, RMTE3, RMTE31, RMTE28, RMTE29, RMTE19, RMTE15","RMTE25|RMTE9|RMTE17|RMTE6|RMTE34|RMTE18|RMTE27|RMTE22|RMTE21","FL_97|FL_100|FL_95|FL_99|FL_102|FL_101|FL_107|FL_110","vidInstructionSex|SamTaylor","vidInstructionNeut|WallE","|happy_1st|sex_arousal_1st|bored_1st|sadness_1st","|happy_2nd|sadness_2nd|bored_2nd|sex_arosal_2nd",8.46666666666667,-0.54682652419398,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0.705882352941177,12,4,2,17,3,6,16,9,8,1,7,14,15,11,13,5,10,"SamTaylor","WallE",6,1,4,7,1,5,2,5,5,0.145716101190743,-0.568257964429545,0.468200331964519
"57d5ab3a722df500017f3622","100","Sex_clip_1st",624,"Yes","20","8.34","desire","11.995","impatient","8.819","preoccupied","7.169","contemplative","9.444","doubtful","7.668","decisive","11.491","arrogant","7.366","fantasizing","6.896","preoccupied","8.388","interested","6.906","cautious","13.01","interested","4.348","reflective","7.852","flirtatious","6.664","confident","7.815","distrustful","5.979","insisting",7,6,2,1,1,1,6,1,3,"","yes",41,"Male","Heterosexual or straight","","No","",", RMTE19, RMTE35, RMTE30, RMTE27, RMTE18, RMTE15, RMTE22, RMTE34, RMTE28, RMTE3, RMTE21, RMTE25, RMTE9, RMTE29, RMTE31, RMTE17, RMTE6","RMTE19|RMTE35|RMTE30|RMTE27|RMTE18|RMTE15|RMTE22|RMTE34|RMTE28","FL_95|FL_106|FL_104|FL_111|FL_101|FL_99|FL_109|FL_112","vidInstructionSex|FloorSex","vidInstructionNeut|WallE","|sadness_1st|happy_1st|bored_1st|sex_arousal_1st","|sadness_2nd|bored_2nd|sex_arosal_2nd|happy_2nd",10.4,-0.159691656295806,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.823529411764706,10,17,13,6,16,5,1,11,7,12,4,9,14,3,15,8,2,"FloorSex","WallE",6,1,2,6,1,1,1,3,5,0.145716101190743,-0.568257964429545,0.468200331964519
"57e7b82b21d77800018e51fe","100","Neutral_clip_1st",703,"Yes","20","8.116","desire","9.248","fantasizing","4.152","preoccupied","6.465","contemplative","4.57","doubtful","6.488","decisive","9.604","sarcastic","8.128","fantasizing","20.614","preoccupied","9.088","interested","6.413","cautious","8.643","affectionate","8.021","impatient","3.782","flirtatious","5.173","confident","9.726","distrustful","7.09","insisting",9,5,5,3,1,9,9,1,1,"","yes",46,"Male","Heterosexual or straight","","No","very interesting survey and the 2nd video was really hot! thank you",", RMTE3, RMTE15, RMTE18, RMTE28, RMTE17, RMTE25, RMTE27, RMTE19, RMTE21, RMTE6, RMTE30, RMTE34, RMTE22, RMTE9, RMTE31, RMTE35, RMTE29","RMTE3|RMTE15|RMTE18|RMTE28|RMTE17|RMTE25|RMTE27|RMTE19|RMTE21","FL_112|FL_100|FL_98|FL_105|FL_111|FL_99|FL_97|FL_101","vidInstructionSex|FloorSex","vidInstructionNeut|MadMen","|sadness_1st|sex_arousal_1st|happy_1st|bored_1st","|bored_2nd|happy_2nd|sex_arosal_2nd|sadness_2nd",11.7166666666667,0.103960538221054,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0.764705882352941,1,10,14,2,5,3,8,9,13,6,7,4,17,11,15,12,16,"FloorSex","MadMen",9,5,9,5,1,3,1,1,4,1.55916228274095,2.39126002481426,0.0336028946386019
"58b99fcaf814e400015249bc","100","Sex_clip_1st",452,"Yes","20","8.949","desire","2.263","fantasizing","2.942","preoccupied","14.394","contemplative","6.996","playful","3.136","decisive","4.762","tentative","3.898","fantasizing","5.517","imploring","4.11","despondent","3.663","cautious","4.795","contented","3.227","impatient","5.223","flirtatious","3.894","confident","4.516","distrustful","4.646","nervous",6,7,5,2,3,1,5,4,6,"","yes",26,"Male","Heterosexual or straight","","No","",", RMTE3, RMTE29, RMTE9, RMTE35, RMTE15, RMTE19, RMTE6, RMTE18, RMTE17, RMTE31, RMTE30, RMTE21, RMTE27, RMTE25, RMTE34, RMTE28, RMTE22","RMTE3|RMTE29|RMTE9|RMTE35|RMTE15|RMTE19|RMTE6|RMTE18|RMTE17","FL_99|FL_100|FL_106|FL_103|FL_104|FL_98|FL_102|FL_105","vidInstructionSex|SamTaylor","vidInstructionNeut|WallE","|bored_1st|sex_arousal_1st|sadness_1st|happy_1st","|happy_2nd|bored_2nd|sex_arosal_2nd|sadness_2nd",7.53333333333333,-0.733719219041374,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0.705882352941177,1,7,3,5,9,8,6,12,17,14,13,16,2,11,10,15,4,"SamTaylor","WallE",7,1,5,5,2,4,3,6,6,0.616864828374147,-0.568257964429545,0.902797769290436
