"ProlificID","condition","duration.seconds","Consent","Catch","RMTE_P","RMTE1","RMTE2","RMTE3","RMTE4","RMTE5","RMTE6","RMTE7","RMTE8","RMTE9","RMTE10","RMTE11","RMTE12","RMTE13","RMTE14","RMTE15","RMTE16","RMTE17","RMTE18","RMTE19","RMTE20","RMTE21","RMTE22","RMTE23","RMTE24","RMTE25","RMTE26","RMTE27","RMTE28","RMTE29","RMTE30","RMTE31","RMTE32","RMTE33","RMTE34","RMTE35","RMTE36","confidence_level","sex_arousal","happy","sadness","bored","attentionCheck_blank","attentionCheck_yes","Age","Gender","sexual_orientation","sexual_orientation_3_TEXT","health_symptoms","Comments","rand_order","firstClip","emotions_DO","duration.minutes","duration_z","RMTE_P_correct","RMTE1_crct","RMTE2_crct","RMTE3_crct","RMTE4_crct","RMTE5_crct","RMTE6_crct","RMTE7_crct","RMTE8_crct","RMTE9_crct","RMTE10_crct","RMTE11_crct","RMTE12_crct","RMTE13_crct","RMTE14_crct","RMTE15_crct","RMTE16_crct","RMTE17_crct","RMTE18_crct","RMTE19_crct","RMTE20_crct","RMTE21_crct","RMTE22_crct","RMTE23_crct","RMTE24_crct","RMTE25_crct","RMTE26_crct","RMTE27_crct","RMTE28_crct","RMTE29_crct","RMTE30_crct","RMTE31_crct","RMTE32_crct","RMTE33_crct","RMTE34_crct","RMTE35_crct","RMTE36_crct","RMET_mean_all","RMTE_P_gender","RMTE1_gender","RMTE2_gender","RMTE3_gender","RMTE4_gender","RMTE5_gender","RMTE6_gender","RMTE7_gender","RMTE8_gender","RMTE9_gender","RMTE10_gender","RMTE11_gender","RMTE12_gender","RMTE13_gender","RMTE14_gender","RMTE15_gender","RMTE16_gender","RMTE17_gender","RMTE18_gender","RMTE19_gender","RMTE20_gender","RMTE21_gender","RMTE22_gender","RMTE23_gender","RMTE24_gender","RMTE25_gender","RMTE26_gender","RMTE27_gender","RMTE28_gender","RMTE29_gender","RMTE30_gender","RMTE31_gender","RMTE32_gender","RMTE33_gender","RMTE34_gender","RMTE35_gender","RMTE36_gender","TV","sex_arousal_c","sex_arousal_Z"
"5ea95dff588bb604aa41b54c","Disclaimer-notsexual",655,"Yes","20","hateful","irritated","upset","desire","insisting","worried","fantasizing","uneasy","shy","preoccupied","insisting","regretful","sceptical","anticipating","accusing","contemplative","thoughtful","affectionate","decisive","tentative","friendly","fantasizing","preoccupied","curious","pensive","interested","hostile","cautious","interested","reflective","flirtatious","confident","serious","fantasizing","distrustful","nervous","suspicious",6,2,7,1,4,"","yes",20,"Male","Heterosexual or straight","","No","I enjoyed the modern family clip",", modernFamily, madMen","modernClip","sex_arousal|sadness|bored|happy",10.9166666666667,-0.556757382201106,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.833333333333333,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male","familiar",-0.517766497461929,-0.31040742363643
"5f05b6a83c0c4206b334458a","Disclaimer-notsexual",885,"Yes","20","panicked","playful","upset","desire","insisting","sarcastic","impatient","friendly","despondent","annoyed","cautious","regretful","sceptical","decisive","accusing","contemplative","encouraging","aghast","decisive","tentative","friendly","fantasizing","imploring","defiant","iIrritated","interested","hostile","cautious","affectionate","impatient","flirtatious","confident","serious","guilty","distrustful","nervous","suspicious",3,2,6,3,7,"","Yes",38,"Male","Heterosexual or straight","","No","",", modernFamily, madMen","modernClip","sadness|sex_arousal|happy|bored",14.75,0.212937658966075,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0.666666666666667,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,-0.517766497461929,-0.31040742363643
"613f6aa9468af0697c086ddd","Disclaimer-notsexual",495,"Yes","20","panicked","playful","upset","desire","insisting","worried","fantasizing","uneasy","despondent","preoccupied","cautious","regretful","sceptical","anticipating","accusing","contemplative","thoughtful","aghast","decisive","tentative","friendly","fantasizing","preoccupied","defiant","hostile","incredulous","hostile","joking","interested","reflective","grateful","dispirited","serious","concerned","distrustful","insisting","indecisive",7,6,6,2,5,"","yes",33,"Male","Heterosexual or straight","","No","",", madMen, modernFamily","madmenClip","bored|happy|sex_arousal|sadness",8.25,-1.09219741083915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0.777777777777778,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,3.48223350253807,1.95877788018851
"5d1a1d97a51463000183f7af","Disclaimer-notsexual",553,"Yes","20","panicked","playful","terrified","desire","insisting","worried","impatient","friendly","despondent","preoccupied","cautious","regretful","sceptical","decisive","accusing","contemplative","thoughtful","doubtful","decisive","tentative","friendly","fantasizing","preoccupied","defiant","pensive","despondent","hostile","cautious","interested","reflective","flirtatious","joking","serious","concerned","distrustful","nervous","suspicious",3,1,6,2,4,"","yes",27,"Male","Heterosexual or straight","","No","",", madMen, modernFamily","madmenClip","sadness|sex_arousal|happy|bored",9.21666666666667,-0.898100400457856,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.833333333333333,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,-1.51776649746193,-0.877703749592664
"57f697c6733f560001b5898b","Disclaimer-notsexual",529,"Yes","20","panicked","playful","upset","desire","insisting","worried","fantasizing","friendly","despondent","preoccupied","insisting","regretful","sceptical","anticipating","accusing","contemplative","thoughtful","affectionate","decisive","tentative","friendly","fantasizing","preoccupied","defiant","pensive","interested","hostile","cautious","interested","reflective","flirtatious","confident","serious","concerned","distrustful","nervous","suspicious",6,1,7,1,1,"","yes",38,"Male","Heterosexual or straight","","No","",", modernFamily, madMen","modernClip","sadness|bored|happy|sex_arousal",8.81666666666667,-0.978416404753562,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916666666666667,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,-1.51776649746193,-0.877703749592664
"5ea12f2dd32031131be8c1fb","Disclaimer-notsexual",986,"Yes","20","panicked","playful","upset","desire","insisting","worried","fantasizing","uneasy","despondent","hostile","cautious","flirtatious","sceptical","anticipating","accusing","contemplative","thoughtful","doubtful","decisive","tentative","friendly","fantasizing","preoccupied","defiant","pensive","interested","hostile","cautious","contented","reflective","flirtatious","confident","alarmed","concerned","distrustful","contemplative","suspicious",4,2,5,3,1,"","yes",28,"Male","Heterosexual or straight","","No","",", madMen, modernFamily","madmenClip","sadness|bored|happy|sex_arousal",16.4333333333333,0.550934177043837,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0.861111111111111,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,-0.517766497461929,-0.31040742363643
"5b031e450a56660001284e2c","Disclaimer-notsexual",834,"Yes","20","panicked","playful","upset","desire","insisting","worried","impatient","uneasy","despondent","preoccupied","bored","regretful","sceptical","shy","accusing","contemplative","sympathetic","doubtful","decisive","tentative","friendly","fantasizing","preoccupied","apologetic","pensive","despondent","hostile","cautious","contented","reflective","flirtatious","dispirited","serious","concerned","aghast","contemplative","suspicious",7,6,4,5,3,"","yes",34,"Male","Heterosexual or straight","","No","",", modernFamily, madMen","modernClip","sadness|sex_arousal|happy|bored",13.9,0.0422661498376997,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0.722222222222222,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,3.48223350253807,1.95877788018851
"5e14f72f557425b04528df9a","Disclaimer-notsexual",1242,"Yes","20","panicked","playful","arrogant","desire","insisting","worried","fantasizing","apologetic","despondent","preoccupied","cautious","regretful","indifferent","shy","irritated","contemplative","sympathetic","doubtful","aghast","grateful","dominant","fantasizing","preoccupied","defiant","pensive","incredulous","hostile","cautious","interested","reflective","flirtatious","dispirited","alarmed","concerned","distrustful","nervous","suspicious",5,1,5,4,1,"","yes",32,"Male","Heterosexual or straight","","No","",", madMen, modernFamily","madmenClip","sadness|bored|sex_arousal|happy",20.7,1.4076382228647,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0.666666666666667,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,-1.51776649746193,-0.877703749592664
"5be30116dd850e0001d2ba99","Disclaimer-notsexual",503,"Yes","20","panicked","playful","upset","desire","insisting","worried","fantasizing","friendly","shy","preoccupied","cautious","regretful","dispirited","decisive","accusing","contemplative","sympathetic","aghast","decisive","tentative","friendly","fantasizing","preoccupied","defiant","iIrritated","interested","hostile","reassuring","interested","irritated","flirtatious","confident","serious","guilty","distrustful","nervous","suspicious",7,2,9,1,2,"","yes",27,"Male","Heterosexual or straight","","No","",", modernFamily, madMen","modernClip","happy|sex_arousal|bored|sadness",8.38333333333333,-1.06542540940724,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0.722222222222222,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,-0.517766497461929,-0.31040742363643
"60b8fb929701cb52b39796aa","Disclaimer-notsexual",528,"Yes","20","panicked","irritated","upset","desire","insisting","worried","fantasizing","friendly","despondent","preoccupied","insisting","regretful","indifferent","anticipating","accusing","contemplative","thoughtful","playful","decisive","arrogant","friendly","fantasizing","imploring","contented","pensive","interested","alarmed","cautious","interested","reflective","flirtatious","confident","serious","concerned","baffled","contemplative","suspicious",6,6,5,4,5,"","yes",19,"Male","Heterosexual or straight","","No","",", modernFamily, madMen","modernClip","sadness|happy|sex_arousal|bored",8.8,-0.981762904932549,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0.694444444444444,"Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Female","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Female","Female","Male","Male","Female","Female","Male",NA,3.48223350253807,1.95877788018851
