"ProlificID","condBetween","conditionFemales","conditionMales","Progress","duration.seconds","Consent","Catch","RT_RMTE3_Page.Submit","RMTE3","RT_RMTE6_Page.Submit","RMTE6","RT_RMTE9_Page.Submit","RMTE9","RT_RMTE15_Page.Submit","RMTE15","RT_RMTE17_Page.Submit","RMTE17","RT_RMTE18_Page.Submit","RMTE18","RT_RMTE19_Page.Submit","RMTE19","RT_RMTE21_Page.Submit","RMTE21","RT_RMTE22_Page.Submit","RMTE22","RT_RMTE25_Page.Submit","RMTE25","RT_RMTE27_Page.Submit","RMTE27","RT_RMTE28_Page.Submit","RMTE28","RT_RMTE29_Page.Submit","RMTE29","RT_RMTE30_Page.Submit","RMTE30","RT_RMTE31_Page.Submit","RMTE31","RT_RMTE34_Page.Submit","RMTE34","RT_RMTE35_Page.Submit","RMTE35","RT_RMTE1_Page.Submit","RMTE1","RT_RMTE2_Page.Submit","RMTE2","RT_RMTE4_Page.Submit","RMTE4","RT_RMTE5_Page.Submit","RMTE5","RT_RMTE7_Page.Submit","RMTE7","RT_RMTE8_Page.Submit","RMTE8","RT_RMTE10_Page.Submit","RMTE10","RT_RMTE11_Page.Submit","RMTE11","RT_RMTE12_Page.Submit","RMTE12","RT_RMTE13_Page.Submit","RMTE13","RT_RMTE14_Page.Submit","RMTE14","RT_RMTE16_Page.Submit","RMTE16","RT_RMTE20_Page.Submit","RMTE20","RT_RMTE23_Page.Submit","RMTE23","RT_RMTE24_Page.Submit","RMTE24","RT_RMTE26_Page.Submit","RMTE26","RT_RMTE32_Page.Submit","RMTE32","RT_RMTE33_Page.Submit","RMTE33","RT_RMTE36_Page.Submit","RMTE36","confidence_level","sex_arousal_1st","happy_1st","sadness_1st","bored_1st","sex_arosal_2nd","happy_2nd","sadness_2nd","bored_2nd","attentionCheck_blank","attentionCheck_yes","Age","Gender","sexual_orientation","sexual_orientation_3_TEXT","health_symptoms","Comments","item_order","FL_121_DO","firstSection_items_females","firstSection_items_males","secondSection_items_females","secondSection_items_males","Sex_clip_DO","Neutral_clip_DO","emotions_first_clip_DO","emotions_second_clip_DO","duration.minutes","duration_z","conditionFemales_Cl","conditionMales_Cl","RMTE1_crct","RMTE2_crct","RMTE3_crct","RMTE4_crct","RMTE5_crct","RMTE6_crct","RMTE7_crct","RMTE8_crct","RMTE9_crct","RMTE10_crct","RMTE11_crct","RMTE12_crct","RMTE13_crct","RMTE14_crct","RMTE15_crct","RMTE16_crct","RMTE17_crct","RMTE18_crct","RMTE19_crct","RMTE20_crct","RMTE21_crct","RMTE22_crct","RMTE23_crct","RMTE24_crct","RMTE25_crct","RMTE26_crct","RMTE27_crct","RMTE28_crct","RMTE29_crct","RMTE30_crct","RMTE31_crct","RMTE32_crct","RMTE33_crct","RMTE34_crct","RMTE35_crct","RMTE36_crct","RMET_mean_all","RMTE3_trial","RMTE6_trial","RMTE9_trial","RMTE15_trial","RMTE17_trial","RMTE18_trial","RMTE19_trial","RMTE21_trial","RMTE22_trial","RMTE25_trial","RMTE27_trial","RMTE28_trial","RMTE29_trial","RMTE30_trial","RMTE31_trial","RMTE34_trial","RMTE35_trial","RMTE1_trial","RMTE2_trial","RMTE4_trial","RMTE5_trial","RMTE7_trial","RMTE8_trial","RMTE10_trial","RMTE11_trial","RMTE12_trial","RMTE13_trial","RMTE14_trial","RMTE16_trial","RMTE20_trial","RMTE23_trial","RMTE24_trial","RMTE26_trial","RMTE32_trial","RMTE33_trial","RMTE36_trial","Sex_clip_name","Neutral_clip_name","condition","sex_arousal_sex","sex_arousal_neutral","happy_sex","happy_neutral","sadness_sex","sadness_neutral","bored_sex","bored_neutral","sex_arousal_diff","sex_arousal_diff_sex_Z","sex_arousal_diff_neutral_Z","sex_arousal_diff_Z"
"55891561fdf99b4badde5b11","females","Neutral_clip","","100",511,"Yes","20","6.379","desire","8.576","alarmed","9.021","preoccupied","8.811","contemplative","6.562","doubtful","5.719","bored","4.622","tentative","8.038","fantasizing","4.835","preoccupied","9.461","incredulous","5.78","cautious","9.182","contented","4.367","reflective","9.458","flirtatious","4.563","confident","10.062","distrustful","5.68","nervous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,1,5,1,6,1,1,7,9,"","yes",37,"Male","Heterosexual or straight","","No","",", RMTE9, RMTE21, RMTE25, RMTE27, RMTE34, RMTE15, RMTE35, RMTE17, RMTE30, RMTE6, RMTE22, RMTE31, RMTE18, RMTE29, RMTE28, RMTE3, RMTE19","FL_124","RMTE9-female|RMTE21-female|RMTE25-female|RMTE27-female|RMTE34-female|RMTE15-female|RMTE35-female|RMTE17-female|RMTE30-female","","FL_112|FL_105|FL_99|FL_108|FL_101|FL_102|FL_95|FL_107","","vidInstructionSex|SamTaylor","vidInstructionNeut|MadMen","|sadness_1st|bored_1st|sex_arousal_1st|happy_1st","|happy_2nd|sex_arosal_2nd|sadness_2nd|bored_2nd",8.51666666666667,-0.512804301594534,"Neutral_clip_1st",NA,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,1,1,NA,NA,0,NA,1,0,1,1,1,NA,NA,1,1,NA,0.764705882352941,16,10,1,6,8,13,17,2,11,3,4,15,14,9,12,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SamTaylor","MadMen","Neutral_clip_1st",1,1,1,5,7,1,9,6,0,-2.11667648934089,-0.605644705859313,-1.69469532135131
"55ab85e0fdf99b2dced04264","females","Neutral_clip","","100",735,"Yes","20","13.792","desire","10.935","impatient","12.946","horrified","10.579","contemplative","13.903","affectionate","9.462","decisive","22.315","tentative","10.538","fantasizing","10.04","preoccupied","10.917","interested","27.939","cautious","12.74","affectionate","10.735","impatient","7.345","flirtatious","15.143","confident","7.239","distrustful","16.128","nervous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,2,5,5,4,6,5,3,3,"","yes",49,"Male","Heterosexual or straight","","No","",", RMTE27, RMTE19, RMTE35, RMTE17, RMTE21, RMTE15, RMTE29, RMTE18, RMTE9, RMTE31, RMTE25, RMTE28, RMTE30, RMTE6, RMTE34, RMTE3, RMTE22","FL_124","RMTE27-female|RMTE19-female|RMTE35-female|RMTE17-female|RMTE21-female|RMTE15-female|RMTE29-female|RMTE18-female|RMTE9-female","","FL_99|FL_104|FL_102|FL_100|FL_112|FL_98|FL_95|FL_105","","vidInstructionSex|SamTaylor","vidInstructionNeut|ModernFamily","|sex_arousal_1st|happy_1st|sadness_1st|bored_1st","|sex_arosal_2nd|sadness_2nd|bored_2nd|happy_2nd",12.25,0.217959462438392,"Neutral_clip_1st",NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,1,1,NA,1,1,NA,NA,1,NA,1,0,0,1,1,NA,NA,1,1,NA,0.705882352941177,16,14,9,6,4,8,2,5,17,11,1,12,7,13,10,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SamTaylor","ModernFamily","Neutral_clip_1st",6,2,5,5,3,5,3,4,4,0.125709518628592,0.183287213615318,0.0205745757863738
"566feba6b937e400052d33b2","females","Neutral_clip","","100",855,"Yes","20","7.893","convinced","8.054","alarmed","5.465","horrified","4.78","contemplative","6.317","doubtful","6.442","decisive","7.635","tentative","5.901","fantasizing","9.642","preoccupied","4.01","interested","9.83","cautious","4.104","interested","12.403","reflective","21.043","flirtatious","5.115","dispirited","5.979","terrified","6.439","nervous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,1,6,5,4,6,6,1,3,"","yes",40,"Male","Heterosexual or straight","","No","",", RMTE27, RMTE29, RMTE35, RMTE17, RMTE3, RMTE34, RMTE21, RMTE22, RMTE6, RMTE15, RMTE18, RMTE31, RMTE30, RMTE28, RMTE19, RMTE9, RMTE25","FL_124","RMTE27-female|RMTE29-female|RMTE35-female|RMTE17-female|RMTE3-female|RMTE34-female|RMTE21-female|RMTE22-female|RMTE6-female","","FL_110|FL_108|FL_99|FL_100|FL_102|FL_107|FL_111|FL_104","","vidInstructionSex|BedroomOral","vidInstructionNeut|WallE","|sadness_1st|bored_1st|happy_1st|sex_arousal_1st","|bored_2nd|happy_2nd|sadness_2nd|sex_arosal_2nd",14.25,0.609440050313174,"Neutral_clip_1st",NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,1,1,1,1,0,NA,NA,0,1,NA,0.705882352941177,5,9,16,10,4,11,15,7,8,17,1,14,2,13,12,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BedroomOral","WallE","Neutral_clip_1st",6,1,6,6,1,5,3,4,5,0.125709518628592,-0.605644705859313,0.449392050070796
"56a80408c89737000b22bd37","females","Neutral_clip","","100",1257,"Yes","20","6.695","desire","13.25","fantasizing","12.14","preoccupied","5.665","amused","11.266","doubtful","16.291","bored","21.831","arrogant","4.589","fantasizing","29.116","insisting","6.475","interested","10.273","cautious","7.974","interested","7.568","reflective","4.11","flirtatious","7.311","confident","11.775","baffled","12.063","puzzled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,2,5,1,2,9,7,1,1,"","yes",46,"Male","Heterosexual or straight","","No","",", RMTE9, RMTE15, RMTE3, RMTE19, RMTE25, RMTE27, RMTE6, RMTE31, RMTE30, RMTE17, RMTE35, RMTE21, RMTE29, RMTE28, RMTE34, RMTE22, RMTE18","FL_124","RMTE9-female|RMTE15-female|RMTE3-female|RMTE19-female|RMTE25-female|RMTE27-female|RMTE6-female|RMTE31-female|RMTE30-female","","FL_109|FL_97|FL_106|FL_101|FL_102|FL_98|FL_105|FL_108","","vidInstructionSex|SamTaylor","vidInstructionNeut|MadMen","|bored_1st|sadness_1st|happy_1st|sex_arousal_1st","|sex_arosal_2nd|bored_2nd|happy_2nd|sadness_2nd",20.95,1.92090001969369,"Neutral_clip_1st",NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,1,0,NA,NA,1,NA,1,1,1,1,1,NA,NA,0,0,NA,0.647058823529412,3,7,1,2,10,17,4,12,16,5,6,14,13,9,8,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SamTaylor","MadMen","Neutral_clip_1st",9,2,7,5,1,1,1,2,7,1.47114112341028,0.183287213615318,1.30702699863964
"56c393c495cf7f000b956b25","females","Sex_clip","","100",521,"Yes","20","3.843","desire","2.291","fantasizing","2.91","horrified","1.818","flustered","2.617","doubtful","2.468","amused","2.279","tentative","1.754","fantasizing","1.959","preoccupied","2.297","incredulous","2.857","cautious","2.099","contented","2.3","impatient","4.265","hostile","9.62","dispirited","6.057","distrustful","6.553","contemplative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,5,5,3,6,1,5,4,3,"","yes",32,"Male","Heterosexual or straight","","No","",", RMTE34, RMTE35, RMTE25, RMTE18, RMTE29, RMTE3, RMTE19, RMTE22, RMTE9, RMTE30, RMTE31, RMTE6, RMTE17, RMTE27, RMTE28, RMTE21, RMTE15","FL_124","RMTE34-female|RMTE35-female|RMTE25-female|RMTE18-female|RMTE29-female|RMTE3-female|RMTE19-female|RMTE22-female|RMTE9-female","","FL_100|FL_99|FL_112|FL_109|FL_103|FL_102|FL_106|FL_110","","vidInstructionSex|FloorSex","vidInstructionNeut|WallE","|happy_1st|sadness_1st|sex_arousal_1st|bored_1st","|happy_2nd|bored_2nd|sadness_2nd|sex_arosal_2nd",8.68333333333333,-0.480180919271636,"Sex_clip_1st",NA,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,0,1,NA,1,1,NA,NA,0,NA,1,0,0,0,0,NA,NA,1,0,NA,0.470588235294118,6,12,9,17,13,4,7,16,8,3,14,15,5,10,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FloorSex","WallE","Sex_clip_1st",5,1,5,5,3,4,6,3,4,-0.322767682965304,-0.605644705859313,0.0205745757863738
"5729fc7c6fe43d0010040e16","females","Sex_clip","","100",609,"Yes","20","4.688","desire","6.223","fantasizing","6.014","horrified","10.778","contemplative","4.069","doubtful","9.997","decisive","4.247","tentative","4.882","fantasizing","5.002","preoccupied","6.161","interested","7.553","arrogant","3.978","interested","8.404","impatient","21.995","flirtatious","6.824","confident","7.355","distrustful","4.505","nervous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,9,9,1,1,1,3,3,7,"","yes",48,"Male","Heterosexual or straight","","No","",", RMTE30, RMTE18, RMTE29, RMTE15, RMTE6, RMTE27, RMTE9, RMTE31, RMTE34, RMTE25, RMTE3, RMTE28, RMTE21, RMTE22, RMTE17, RMTE19, RMTE35","FL_124","RMTE30-female|RMTE18-female|RMTE29-female|RMTE15-female|RMTE6-female|RMTE27-female|RMTE9-female|RMTE31-female|RMTE34-female","","FL_104|FL_95|FL_102|FL_106|FL_105|FL_109|FL_107|FL_97","","vidInstructionSex|BedroomOral","vidInstructionNeut|WallE","|bored_1st|happy_1st|sex_arousal_1st|sadness_1st","|bored_2nd|sex_arosal_2nd|sadness_2nd|happy_2nd",10.15,-0.193095154830129,"Sex_clip_1st",NA,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,0,1,0,1,1,NA,NA,1,1,NA,0.823529411764706,11,5,7,4,15,2,16,13,14,10,6,12,3,1,8,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BedroomOral","WallE","Sex_clip_1st",9,1,9,3,1,3,1,7,8,1.47114112341028,-0.605644705859313,1.73584447292406
"5731adb05b8b06000f7cbff6","females","Sex_clip","","100",522,"Yes","20","4.431","desire","26.238","impatient","8.176","annoyed","5.282","contemplative","4.439","affectionate","4.207","decisive","3.145","tentative","4.181","fantasizing","4.518","preoccupied","3.547","interested","3.246","reassuring","6.627","interested","2.81","reflective","2.625","flirtatious","3.874","confident","11.164","baffled","3.821","contemplative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,7,6,2,3,3,6,2,4,"","yes",32,"Male","Heterosexual or straight","","No","",", RMTE9, RMTE28, RMTE3, RMTE18, RMTE35, RMTE22, RMTE31, RMTE6, RMTE34, RMTE17, RMTE30, RMTE27, RMTE29, RMTE21, RMTE15, RMTE19, RMTE25","FL_124","RMTE9-female|RMTE28-female|RMTE3-female|RMTE18-female|RMTE35-female|RMTE22-female|RMTE31-female|RMTE6-female|RMTE34-female","","FL_109|FL_100|FL_103|FL_101|FL_106|FL_110|FL_107|FL_104","","vidInstructionSex|FloorSex","vidInstructionNeut|ModernFamily","|happy_1st|bored_1st|sex_arousal_1st|sadness_1st","|sex_arosal_2nd|happy_2nd|bored_2nd|sadness_2nd",8.7,-0.476918581039346,"Sex_clip_1st",NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,1,1,NA,1,1,NA,NA,1,NA,0,1,1,1,1,NA,NA,0,0,NA,0.647058823529412,3,8,1,15,10,4,16,14,6,17,12,2,13,11,7,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FloorSex","ModernFamily","Sex_clip_1st",7,3,6,6,2,2,3,4,4,0.574186720222489,0.97221913308995,0.0205745757863738
"576d7c40240aa0000193d40d","females","Neutral_clip","","100",521,"Yes","20","5.472","convinced","4.443","fantasizing","3.647","preoccupied","2.074","contemplative","3.774","aghast","4.555","decisive","3.466","tentative","4.498","fantasizing","9.428","imploring","7.316","interested","4.203","cautious","3.17","contented","8.198","irritated","5.724","flirtatious","2.9","confident","6.45","distrustful","3.501","nervous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,2,3,2,3,6,5,2,2,"","yes",25,"Male","Heterosexual or straight","","No","",", RMTE6, RMTE35, RMTE15, RMTE18, RMTE31, RMTE17, RMTE3, RMTE21, RMTE19, RMTE22, RMTE30, RMTE27, RMTE25, RMTE29, RMTE9, RMTE34, RMTE28","FL_124","RMTE6-female|RMTE35-female|RMTE15-female|RMTE18-female|RMTE31-female|RMTE17-female|RMTE3-female|RMTE21-female|RMTE19-female","","FL_105|FL_100|FL_103|FL_104|FL_101|FL_111|FL_98|FL_102","","vidInstructionSex|SamTaylor","vidInstructionNeut|ModernFamily","|sex_arousal_1st|happy_1st|sadness_1st|bored_1st","|bored_2nd|happy_2nd|sadness_2nd|sex_arosal_2nd",8.68333333333333,-0.480180919271636,"Neutral_clip_1st",NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,0,1,1,NA,1,0,NA,NA,1,NA,1,0,0,1,1,NA,NA,1,1,NA,0.705882352941177,7,1,15,3,6,4,9,8,10,13,12,17,14,11,5,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SamTaylor","ModernFamily","Neutral_clip_1st",6,2,5,3,2,2,2,3,4,0.125709518628592,0.183287213615318,0.0205745757863738
"57a1e03b8eccbc0001f39c13","females","Neutral_clip","","100",625,"Yes","20","8.393","convinced","38.125","fantasizing","5.301","preoccupied","7.055","contemplative","4.971","doubtful","4.868","decisive","5.331","tentative","4.814","fantasizing","6.081","preoccupied","15.114","interested","7.387","cautious","10.377","interested","7.195","reflective","4.983","flirtatious","7.227","confident","9.771","distrustful","8.428","insisting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,1,7,1,4,1,2,1,6,"","yes",42,"Male","Heterosexual or straight","","No","",", RMTE34, RMTE35, RMTE30, RMTE21, RMTE19, RMTE29, RMTE25, RMTE28, RMTE3, RMTE18, RMTE15, RMTE6, RMTE17, RMTE22, RMTE31, RMTE9, RMTE27","FL_124","RMTE34-female|RMTE35-female|RMTE30-female|RMTE21-female|RMTE19-female|RMTE29-female|RMTE25-female|RMTE28-female|RMTE3-female","","FL_108|FL_110|FL_112|FL_109|FL_105|FL_99|FL_111|FL_103","","vidInstructionSex|SamTaylor","vidInstructionNeut|WallE","|sadness_1st|happy_1st|sex_arousal_1st|bored_1st","|bored_2nd|sadness_2nd|happy_2nd|sex_arosal_2nd",10.4166666666667,-0.140897743113491,"Neutral_clip_1st",NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,0,NA,0.882352941176471,9,12,16,11,13,10,5,4,14,7,17,8,6,3,15,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SamTaylor","WallE","Neutral_clip_1st",1,1,2,7,1,1,6,4,0,-2.11667648934089,-0.605644705859313,-1.69469532135131
"5810a2fa7d3e6d0001df294c","females","Sex_clip","","100",826,"Yes","20","14.222","convinced","8.178","fantasizing","8.268","preoccupied","7.391","contemplative","11.673","doubtful","21.845","amused","7.798","tentative","8.571","fantasizing","6.924","preoccupied","7.614","interested","6.357","cautious","10.496","interested","7.558","reflective","7.764","flirtatious","9.08","confident","8.899","distrustful","7.384","contemplative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,6,5,1,2,2,5,1,3,"","yes",38,"Male","Heterosexual or straight","","No","",", RMTE6, RMTE35, RMTE25, RMTE22, RMTE9, RMTE17, RMTE29, RMTE18, RMTE27, RMTE34, RMTE15, RMTE3, RMTE30, RMTE31, RMTE21, RMTE28, RMTE19","FL_124","RMTE6-female|RMTE35-female|RMTE25-female|RMTE22-female|RMTE9-female|RMTE17-female|RMTE29-female|RMTE18-female|RMTE27-female","","FL_98|FL_110|FL_95|FL_100|FL_99|FL_106|FL_102|FL_107","","vidInstructionSex|SamTaylor","vidInstructionNeut|MadMen","|happy_1st|sadness_1st|sex_arousal_1st|bored_1st","|bored_2nd|sadness_2nd|sex_arosal_2nd|happy_2nd",13.7666666666667,0.514832241576769,"Sex_clip_1st",NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,0,1,NA,1,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,0,NA,0.823529411764706,12,1,5,11,6,8,17,15,4,3,9,16,7,13,14,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SamTaylor","MadMen","Sex_clip_1st",6,2,5,5,1,1,2,3,4,0.125709518628592,0.183287213615318,0.0205745757863738
